abacaxi A-BA-CA-XI
abelha A-BE-LHA
amendoim A-MEN-DO-IM
amor A-MOR
aranha A-RA-NHA
asa A-SA
avião A-VI-ÃO
banana BA-NA-NA
banho BA-NHO
barco BAR-CO
batata BA-TA-TA
bebida BE-BI-DA
bicicleta BI-CI-CLE-TA
bico BI-CO
boca BO-CA
bola BO-LA
bolacha BO-LA-CHA
bolha BO-LHA
bolo BO-LO
bolsa BOL-SA
bomba BOM-BA
boneca BO-NE-CA
borboleta BOR-BO-LE-TA
borda BOR-DA
bota BO-TA
bravo BRA-VO
briga BRI-GA
brinco BRIN-CO
cabo CA-BO
cachorro CA-CHOR-RO
cadeira CA-DEI-RA
caju CA-JU
cama CA-MA
campo CAM-PO
caneca CA-NE-CA
canela CA-NE-LA
caneta CA-NE-TA
capa CA-PA
capim CA-PIM
caracol CA-RA-COL
carro CAR-RO
casa CA-SA
cavalo CA-VA-LO
caça CA-ÇA
cebola CE-BO-LA
cedo CE-DO
cenoura CE-NOU-RA
chato CHA-TO
chocolate CHO-CO-LA-TE
chorão CHO-RÃO
coco CO-CO
computador COM-PU-TA-DOR
cone CO-NE
copo CO-PO
coruja CO-RU-JA
cravo CRA-VO
creme CRE-ME
cubo CU-BO
cão CÃO
dado DA-DO
dedo DE-DO
dia DI-A
dobra DO-BRA
doce DO-CE
dragão DRA-GÃO
elefante E-LE-FAN-TE
escola ES-CO-LA
faca FA-CA
fevereiro FE-VE-REI-RO
filha FI-LHA
flor FLOR
foca FO-CA
fogo FO-GO
foguete FO-GUE-TE
folha FO-LHA
galinha GA-LI-NHA
ganho GA-NHO
garrafa GAR-RA-FA
gatinho GA-TI-NHO
gato GA-TO
girafa GI-RA-FA
gota GO-TA
grama GRA-MA
homem HO-MEM
hora HO-RA
ilha I-LHA
jacare JA-CA-RÉ
janela JA-NE-LA
jardim JAR-DIM
jarra JAR-RA
juca JU-CA
lama LA-MA
lanche LAN-CHE
laranja LA-RAN-JA
lata LA-TA
laço LA-ÇO
leao LE-ÃO
limao LI-MÃO
livro LI-VRO
lobo LO-BO
lua LU-A
luneta LU-NE-TA
lupa LU-PA
maca MA-CA
macaco MA-CA-CO
mago MA-GO
mala MA-LA
maleta MA-LE-TA
mapa MA-PA
mar MAR
mato MA-TO
medo ME-DO
meia MEI-A
menina ME-NI-NA
menino ME-NI-NO
mesa ME-SA
minhoca MI-NHO-CA
minuto MI-NU-TO
mola MO-LA
mora MO-RA
muda MU-DA
mão MÃO
nada NA-DA
nadadora NA-DA-DO-RA
navio NA-VI-O
ninho NI-NHO
noite NOI-TE
nuvem NU-VEM
paca PA-CA
padaria PA-DA-RI-A
palha PA-LHA
panela PA-NE-LA
pao PÃO
parte PAR-TE
passarinho PAS-SA-RI-NHO
pata PA-TA
pato PA-TO
peixe PEI-XE
pena PE-NA
pesca PES-CA
peteca PE-TE-CA
piao PI-ÃO
pinho PI-NHO
pipa PI-PA
pipoca PI-PO-CA
pirulito PI-RU-LI-TO
placa PLA-CA
porta POR-TA
porteira POR-TEI-RA
poço PO-ÇO
prata PRA-TA
prato PRA-TO
prego PRE-GO
presente PRE-SEN-TE
pão PÃO
pé PÉ
ramo RA-MO
rato RA-TO
rede RE-DE
rio RI-O
roda RO-DA
rua RU-A
sabão SA-BÃO
saca SA-CA
sacola SA-CO-LA
sapato SA-PA-TO
sapo SA-PO
selo SE-LO
sente SEN-TE
sino SI-NO
sofá SO-FÁ
sol SOL
sonho SO-NHO
sopa SO-PA
sorte SOR-TE
sorvete SOR-VE-TE
tambor TAM-BOR
também TAM-BÉM
tampa TAM-PA
tapa TA-PA
tartaruga TAR-TA-RU-GA
teia TEI-A
telha TE-LHA
tesoura TE-SOU-RA
tesouro TE-SOU-RO
tijolo TI-JO-LO
tocha TO-CHA
toma TO-MA
tomate TO-MA-TE
torta TOR-TA
trata TRA-TA
trem TREM
troco TRO-CO
tubo TU-BO
tucano TU-CA-NO
tudo TU-DO
urso UR-SO
uva U-VA
vaca VA-CA
vela VE-LA
viagem VI-A-GEM
vida VI-DA
vidro VI-DRO
vinho VI-NHO
xicara XÍ-CA-RA
zebra ZE-BRA
